date,open,high,low,close,volume,dividends,stock_splits
2026-01-14,1699.455346893846,1709.422826934279,1694.4716068736295,1704.4390869140625,29100816,0.0,0.0
2026-01-15,1679.5202885915542,1694.4715077778292,1674.536548862796,1684.5040283203125,36391886,0.0,0.0
2026-01-16,1729.357690920775,1744.3089101506375,1704.4389922043372,1734.3414306640625,53551629,0.0,0.0
2026-01-19,1719.3901894309304,1774.2113259055398,1719.3901894309304,1754.2763671875,29580038,0.0,0.0
2026-01-20,1734.3414818992078,1769.2276611328125,1734.3414818992078,1769.2276611328125,29401234,0.0,0.0
2026-01-21,1739.32517040735,1759.2601293805,1734.3414306640625,1734.3414306640625,45192749,0.0,0.0
2026-01-22,1759.2601068670099,1764.2438465465198,1744.30888782848,1754.2763671875,32069478,0.0,0.0
2026-01-23,1764.243896484375,1769.2276363049523,1744.3089372020656,1764.243896484375,27601167,0.0,0.0
2026-01-26,1759.2602045216793,1779.1951643462874,1749.292724609375,1749.292724609375,22960198,0.0,0.0
2026-01-27,1754.2764659410113,1779.1951657413097,1749.2927259809514,1774.21142578125,28985200,0.0,0.0
2026-01-28,1784.1788598364526,1814.081298828125,1784.1788598364526,1814.081298828125,29301156,0.0,0.0
2026-01-29,1824.0488267724202,1829.0325667362793,1794.146386989266,1799.130126953125,32224002,0.0,0.0
2026-01-30,1784.1788808043575,1794.1463605853874,1769.2276611328125,1769.2276611328125,40825139,0.0,0.0
2026-02-02,1744.308912585207,1759.2601318359375,1739.3251728349637,1759.2601318359375,28251381,0.0,0.0
2026-02-03,1804.113842095269,1804.113842095269,1779.195142618815,1794.1463623046875,26744162,0.0,0.0
2026-02-04,1779.195068359375,1799.1300271084997,1769.2275889848127,1779.195068359375,26952301,0.0,0.0
2026-02-05,1759.2601318359375,1774.2113510866677,1754.276392085694,1759.2601318359375,26299986,0.0,0.0
2026-02-06,1739.3252460608321,1774.21142578125,1734.3415061007724,1774.21142578125,33263592,0.0,0.0
2026-02-09,1824.0487534704287,1829.0324932340093,1809.0975341796875,1809.0975341796875,36529289,0.0,0.0
2026-02-10,1839.0000506461936,1873.88623046875,1834.0163106715427,1873.88623046875,41859169,0.0,0.0
2026-02-11,1873.8861603500327,1918.7398184435174,1868.9024205618675,1908.7723388671875,40488310,0.0,0.0
2026-02-23,1893.8211669921875,1928.7073463841489,1893.8211669921875,1893.8211669921875,69816209,0.0,0.0
2026-02-24,1908.7723432157482,1968.5772208099752,1908.7723432157482,1958.6097412109375,40961679,0.0,0.0
2026-02-25,1988.51218431345,2018.4146231753064,1988.51218431345,2008.4471435546875,40832607,0.0,0.0
2026-02-26,1993.4959468984962,2003.4634266329888,1988.51220703125,1988.51220703125,58561388,0.0,0.0
2026-03-02,1933.691091030459,1988.5122302091575,1933.691091030459,1968.5772705078125,48884884,0.0,0.0
2026-03-03,1963.5934534984658,1973.5609329578488,1928.707275390625,1928.707275390625,43090471,0.0,0.0
2026-03-04,1888.837375180651,1903.7885945092576,1858.9349365234375,1858.9349365234375,68160943,0.0,0.0
2026-03-05,1933.6910862972861,1953.6260459498355,1888.8374270790503,1893.8211669921875,48120463,0.0,0.0
2026-03-06,1873.8861581307872,1893.821117259838,1873.8861581307872,1883.8536376953125,30082724,0.0,0.0
2026-03-09,1769.2275916673862,1804.11376953125,1764.2438519725483,1804.11376953125,76459172,0.0,0.0
2026-03-10,1863.9187242662586,1883.8536838840794,1824.0488050306167,1843.9837646484375,41375691,0.0,0.0
2026-03-11,1878.8699023059962,1943.6585196268927,1868.902422718166,1933.6910400390625,36167313,0.0,0.0
2026-03-12,1893.821092195789,1908.7723113447032,1878.869873046875,1878.869873046875,34040589,0.0,0.0
2026-03-13,1834.0162376424262,1878.8698956282465,1834.0162376424262,1858.9349365234375,31214304,0.0,0.0
2026-03-16,1868.90243902439,1873.8861788617885,1839.0,1839.0,31249086,0.0,0.0
2026-03-17,1875.0,1880.0,1860.0,1870.0,23812211,6.000036,0.0
2026-03-18,1900.0,1910.0,1890.0,1905.0,23068156,0.0,0.0
2026-03-19,1875.0,1880.0,1850.0,1850.0,31040569,0.0,0.0
2026-03-20,1860.0,1870.0,1840.0,1840.0,46312322,0.0,0.0
2026-03-23,1790.0,1815.0,1785.0,1810.0,34902948,0.0,0.0
2026-03-24,1850.0,1850.0,1800.0,1810.0,27001025,0.0,0.0
2026-03-25,1865.0,1875.0,1845.0,1845.0,40964040,0.0,0.0
2026-03-26,1850.0,1865.0,1840.0,1840.0,20958470,0.0,0.0
2026-03-27,1805.0,1825.0,1800.0,1820.0,28974140,0.0,0.0
2026-03-30,1780.0,1800.0,1780.0,1780.0,39889700,0.0,0.0
2026-03-31,1775.0,1790.0,1760.0,1760.0,49221091,0.0,0.0
2026-04-01,1840.0,1855.0,1830.0,1855.0,35537379,0.0,0.0
2026-04-02,1865.0,1865.0,1805.0,1810.0,25132417,0.0,0.0
2026-04-07,1850.0,1860.0,1835.0,1860.0,17953562,0.0,0.0
2026-04-08,1935.0,1950.0,1925.0,1950.0,46515921,0.0,0.0
2026-04-09,1945.0,1955.0,1930.0,1955.0,31835073,0.0,0.0
2026-04-10,1975.0,2000.0,1970.0,2000.0,28637625,0.0,0.0
2026-04-13,1985.0,1995.0,1975.0,1990.0,28968757,0.0,0.0
2026-04-14,,,,,44579996,0.0,0.0
